title,media_condition,sleeve_condition,price,buy_url,seller_rating,seller_url
"Tatsuro Yamashita - Add Some Music To Your Day (LP, Album, RE)",Near Mint (NM or M-),Near Mint (NM or M-),304.5,https://www.discogs.com/sell/item/1985566811,96.8,https://www.discogs.com/seller/Scorpi978a/profile
"Tatsuro Yamashita - Add Some Music To Your Day (LP, Album, RE)",Very Good Plus (VG+),Very Good Plus (VG+),340.0,https://www.discogs.com/sell/item/1130008222,94.0,https://www.discogs.com/seller/IndoVinyLand/profile
"山下達郎* - Circus Town (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),145.0,https://www.discogs.com/sell/item/1950669776,99.9,https://www.discogs.com/seller/jazzy5/profile
"山下達郎* - Circus Town (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),99.5,https://www.discogs.com/sell/item/1985567516,96.8,https://www.discogs.com/seller/Scorpi978a/profile
"山下達郎* - Circus Town (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),134.0,https://www.discogs.com/sell/item/2058220706,99.8,https://www.discogs.com/seller/Emper0rTomato/profile
"山下達郎* - Circus Town (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),109.34,https://www.discogs.com/sell/item/2045916899,99.9,https://www.discogs.com/seller/RecordCityJP/profile
"山下達郎* - Circus Town (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),109.34,https://www.discogs.com/sell/item/2038723355,99.9,https://www.discogs.com/seller/RecordCityJP/profile
"山下達郎* - Circus Town (LP, Album)",Near Mint (NM or M-),Very Good Plus (VG+),163.99,https://www.discogs.com/sell/item/1999571015,99.7,https://www.discogs.com/seller/estacio/profile
"山下達郎* - Circus Town (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),138.19,https://www.discogs.com/sell/item/2032791494,99.9,https://www.discogs.com/seller/RecordCityJP/profile
"山下達郎* - Circus Town (LP, Album)",Very Good Plus (VG+),Very Good Plus (VG+),122.99,https://www.discogs.com/sell/item/2029737398,99.8,https://www.discogs.com/seller/Fuji_Records/profile
"山下達郎* - Circus Town (LP, Album)",Very Good Plus (VG+),Very Good (VG),96.99,https://www.discogs.com/sell/item/2027440286,100.0,https://www.discogs.com/seller/Origami_Records/profile
"山下達郎* - Circus Town (LP, Album)",Very Good Plus (VG+),Near Mint (NM or M-),116.0,https://www.discogs.com/sell/item/1814012539,99.9,https://www.discogs.com/seller/ella_records/profile
